x,y
6.328965608145842,7.774829041679556
7.2679555025430105,6.916094505426751
8.087489009895432,5.926925551606624
8.298848067714538,6.623445597073658
13.134211496840942,11.370742682443986
15.27215352746395,9.986080799536419
23.460403270770502,31.663067811953624
24.559309876845713,30.59889753934381
34.458504139352186,27.39558000413848
39.55852497393736,24.48223861556931
54.771468419701755,98.92302065889928
62.36250486894601,98.5494842149956
62.62584312184462,99.77766655632522
68.93080603426905,99.41379146714526
75.40195176828108,9.706011485660206
77.74114662801837,6.809333448142145
82.28174308008943,2.9331459674197045
88.13877136359683,13.855242385850755
88.95799916026837,0.18744866724128428
91.80891760298509,0.38576646856321517
